"jnr_sm_id","lead_id","num_stages"
"JNR1008MG","USR1158","2"
"JNR1008MG","USR1159","1"
"JNR1008MG","USR1160","1"
"JNR1009MG","USR1161","1"
"JNR1009MG","USR1162","3"
"JNR1009MG","USR1163","2"
"JNR1009MG","USR1164","1"
"JNR1009MG","USR1165","1"
"JNR1009MG","USR1166","1"
"JNR1009MG","USR1167","3"
"JNR1009MG","USR1168","1"
"JNR1009MG","USR1169","1"
"JNR1009MG","USR1170","2"
"JNR1009MG","USR1171","3"
"JNR1009MG","USR1172","4"
"JNR1009MG","USR1173","4"
"JNR1009MG","USR1174","1"
"JNR1009MG","USR1175","2"
"JNR1009MG","USR1176","1"
"JNR1009MG","USR1177","3"
"JNR1009MG","USR1178","2"
"JNR1009MG","USR1179","1"
"JNR1009MG","USR1180","1"
"JNR1010MG","USR1181","1"
"JNR1010MG","USR1182","4"
"JNR1010MG","USR1183","4"
"JNR1010MG","USR1184","1"
"JNR1010MG","USR1185","3"
"JNR1010MG","USR1186","1"
"JNR1010MG","USR1187","3"
"JNR1010MG","USR1188","1"
"JNR1010MG","USR1189","1"
"JNR1010MG","USR1190","2"
"JNR1010MG","USR1191","3"
"JNR1010MG","USR1192","4"
"JNR1010MG","USR1193","4"
"JNR1010MG","USR1194","1"
"JNR1010MG","USR1195","2"
"JNR1010MG","USR1196","1"
"JNR1010MG","USR1197","3"
"JNR1010MG","USR1198","2"
"JNR1010MG","USR1199","1"
"JNR1010MG","USR1200","1"
"JNR1010MG","USR1323","1"
"JNR1011MG","USR1201","1"
"JNR1011MG","USR1202","3"
"JNR1011MG","USR1203","2"
"JNR1011MG","USR1204","1"
"JNR1011MG","USR1205","1"
"JNR1011MG","USR1206","1"
"JNR1011MG","USR1207","3"
"JNR1011MG","USR1208","1"
"JNR1011MG","USR1209","1"
"JNR1011MG","USR1210","2"
"JNR1011MG","USR1211","3"
"JNR1011MG","USR1212","4"
"JNR1011MG","USR1213","4"
"JNR1011MG","USR1214","1"
"JNR1011MG","USR1215","2"
"JNR1011MG","USR1216","1"
"JNR1011MG","USR1217","3"
"JNR1011MG","USR1218","2"
"JNR1011MG","USR1219","1"
"JNR1011MG","USR1220","1"
"JNR1011MG","USR1335","1"
"JNR1011MG","USR1336","1"
"JNR1011MG","USR1337","1"
"JNR1011MG","USR1338","1"
"JNR1011MG","USR1339","1"
"JNR1011MG","USR1340","1"
"JNR1012MG","USR1221","1"
"JNR1012MG","USR1222","4"
"JNR1012MG","USR1223","4"
"JNR1012MG","USR1224","1"
"JNR1012MG","USR1225","3"
"JNR1012MG","USR1226","1"
"JNR1012MG","USR1227","3"
"JNR1012MG","USR1228","1"
"JNR1012MG","USR1229","1"
"JNR1012MG","USR1230","2"
"JNR1012MG","USR1231","3"
"JNR1012MG","USR1232","4"
"JNR1012MG","USR1233","4"
"JNR1012MG","USR1234","1"
"JNR1012MG","USR1235","2"
"JNR1012MG","USR1236","1"
"JNR1012MG","USR1237","3"
"JNR1012MG","USR1238","2"
"JNR1012MG","USR1239","1"
"JNR1012MG","USR1240","1"
"JNR1012MG","USR1322","1"
"JNR1012MG","USR1341","1"
"JNR1012MG","USR1342","1"
"JNR1012MG","USR1343","3"
"JNR1012MG","USR1344","1"
"JNR1012MG","USR1345","1"
"JNR1012MG","USR1346","1"
"JNR1012MG","USR1347","1"
"JNR1012MG","USR1348","3"
"JNR1012MG","USR1349","1"
"JNR1012MG","USR1350","1"
"JNR1013MG","USR1241","1"
"JNR1013MG","USR1242","3"
"JNR1013MG","USR1243","2"
"JNR1013MG","USR1244","1"
"JNR1013MG","USR1245","1"
"JNR1013MG","USR1246","1"
"JNR1013MG","USR1247","3"
"JNR1013MG","USR1248","1"
"JNR1013MG","USR1249","1"
"JNR1013MG","USR1250","2"
"JNR1013MG","USR1251","3"
"JNR1013MG","USR1252","4"
"JNR1013MG","USR1253","4"
"JNR1013MG","USR1254","1"
"JNR1013MG","USR1255","2"
"JNR1013MG","USR1256","1"
"JNR1013MG","USR1257","3"
"JNR1013MG","USR1258","2"
"JNR1013MG","USR1259","1"
"JNR1013MG","USR1260","1"
"JNR1014MG","USR1261","1"
"JNR1014MG","USR1262","4"
"JNR1014MG","USR1263","4"
"JNR1014MG","USR1264","1"
"JNR1014MG","USR1265","3"
"JNR1014MG","USR1266","1"
"JNR1014MG","USR1267","3"
"JNR1014MG","USR1268","1"
"JNR1014MG","USR1269","1"
"JNR1014MG","USR1270","2"
"JNR1014MG","USR1271","3"
"JNR1014MG","USR1272","4"
"JNR1014MG","USR1273","4"
"JNR1014MG","USR1274","1"
"JNR1014MG","USR1275","2"
"JNR1014MG","USR1277","3"
"JNR1014MG","USR1278","2"
"JNR1014MG","USR1279","1"
"JNR1014MG","USR1280","1"
"JNR1015MG","USR1281","1"
"JNR1015MG","USR1282","3"
"JNR1015MG","USR1283","2"
"JNR1015MG","USR1284","1"
"JNR1015MG","USR1285","1"
"JNR1015MG","USR1286","1"
"JNR1015MG","USR1287","3"
"JNR1015MG","USR1288","1"
"JNR1015MG","USR1289","1"
"JNR1015MG","USR1290","2"
"JNR1015MG","USR1291","3"
"JNR1015MG","USR1292","4"
"JNR1015MG","USR1293","4"
"JNR1015MG","USR1294","1"
"JNR1015MG","USR1295","2"
"JNR1015MG","USR1296","1"
"JNR1015MG","USR1297","4"
"JNR1015MG","USR1298","2"
"JNR1015MG","USR1299","1"
"JNR1015MG","USR1300","1"
"JNR1015MG","USR1324","1"
"JNR1016MG","USR1301","1"
"JNR1016MG","USR1302","4"
"JNR1016MG","USR1303","4"
"JNR1016MG","USR1304","1"
"JNR1016MG","USR1305","3"
"JNR1016MG","USR1306","1"
"JNR1016MG","USR1307","4"
"JNR1016MG","USR1308","1"
"JNR1016MG","USR1309","1"
"JNR1016MG","USR1310","2"
"JNR1016MG","USR1311","4"
"JNR1016MG","USR1312","4"
"JNR1016MG","USR1313","4"
"JNR1016MG","USR1314","4"
"JNR1016MG","USR1315","2"
"JNR1016MG","USR1316","1"
"JNR1016MG","USR1317","4"
"JNR1016MG","USR1318","2"
"JNR1016MG","USR1319","2"
"JNR1016MG","USR1320","1"
"JNR1016MG","USR1328","1"
"JNR1016MG","USR1329","1"
"JNR1016MG","USR1330","1"
"JNR1016MG","USR1331","1"
"JNR1016MG","USR1332","1"
"JNR1016MG","USR1333","1"
"JNR1016MG","USR1334","1"
